"Toy Boat", "Toy", "Boat", "Ship", "Water", "River", "By house", "lake shoreline toward island"
"Bundle of Flowers", "Bouquet", "Flowers", "Compliment", "clearing near the forest", "take them to the porch of the house"
"Life Jacket", "Life", "Coat", "Armor", "Savior", "At house", "On dock"
"Teddy Bear", "Ted", "Bear", "Toy", "Edge of woods", "By tire swing of the house"
"Cup Cake", "Cups", "Cake", "On Porch", "Inside House"
"Empty Jar", "Jar", "Void", "Null", "In the House", "at forest"
"Dead Squirrel", "edge of woods", "rockwall northwest"
"Good Stick", "house after you hit your brother"
"Sunscreen", "Flat area by lake", "on the dock"
"Bikini top", "Lake Shore", "near river"
"Football", "grassy clearing near house", "closer to the house"
"Bag of Apples", "Deep Woods", "in kitchen"
"Flashlight", "bed", "cave far end of map in rock wall"
"Hand Turkey", "Kitchen Fridge", "rivers edge"
"Beetle", "Log in woods", "Sister bed in house"
"Glove", "rock deep in winter forest, "living room house"
"Carrot", "In Kitchen", "Edge of frozen lake"
"Woman's Scarf", "remains of snowman", "porch of house"
"Brothers photograph", "Last time in the house", "hole in the frozen lake"
"Jar of fireflies, "find toy boat on island leave it", "wake up remembering all that"
"big data"